name,ein,street,city,state,zip
ITS REIGNING CATS AND DOGS INC,030410685,326 SMITH ST,PEEKSKILL,NY,10566-4533
WORLD WISE INSTITUTE NPCL,030438399,341 W 24TH ST APT 1A,NEW YORK,NY,10011-1526
WILDLIFE IN NEED OF RESCUE AND REHABILITATION INC,030443315,202 N WYOMING AVE,N MASSAPEQUA,NY,11758-1512
PAWS FOR LIFE COALITION INC,030449317,PO BOX 253,CLEMENTON,NJ,08021-0224
BIRDSCARIBBEAN,030455080,841 WORCESTER ST PMB 130,NATICK,MA,01760-2016
LUCY MACKENZIE HUMANE SOCIETY INC,036006562,4832 RTE 44,BROWNSVILLE,VT,05037-0000
RUTLAND COUNTY HUMANE SOCIETY INC,036006930,765 STEVENS RD,PITTSFORD,VT,05763-4418
JOHN R & GRACE D HOGLE WILDLIFE SANCTUARY TRU UA,036012960,300 FRANKLIN ST,MANCHESTER,NH,03101-2318
WINDHAM COUNTY HUMANE SOCIETY,036016140,916 W RIVER RD,BRATTLEBORO,VT,05301-9089
MASSACHUSETTS SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,042103597,350 S HUNTINGTON AVE,JAMAICA PLAIN,MA,02130-4803
HUMANE SOCIETY & SHELTER SOUTHCOAST,042103712,31 VENTURA DR,N DARTMOUTH,MA,02747-1244
ANIMAL RESCUE LEAGUE OF BOSTON,042103714,10 ANNAS PL,DEDHAM,MA,02026-4042
HUMANE SOCIETY-LOWELL,042104400,951 BROADWAY ST,LOWELL,MA,01854-3007
NEW ENGLAND ANTI-VIVISECTION SOCIETY,042104756,6 LIBERTY SQ PMB 91098,BOSTON,MA,02109-5800
MERWIN MEMORIAL FREE CLINIC FOR ANIMALS INC,042121362,542 CAMBRIDGE ST,ALLSTON,MA,02134-2430
WORCESTER ANIMAL RESCUE LEAGUE,042133247,139 HOLDEN ST,WORCESTER,MA,01606-3441
ELLEN M GIFFORD SHELTERING HOME CORPORATION,042239741,30 UNDINE RD,BRIGHTON,MA,02135-3812
NEW ENGLAND AQUARIUM CORPORATION,042297514,1 CENTRAL WHARF,BOSTON,MA,02110-3309
